1,Amended Model Answer of Parivahan Up Nirikshak (Tech.) Exam-2023 (26-09-2024),26-09-2024,1727308800000,https://psc.cg.gov.in/pdf/Model_Answer/AMA_TSI2023_26092024.pdf
2,Model Answer of Parivahan Up Nirikshak (Tech.) Exam-2023 (04-09-2024),04-09-2024,1725408000000,https://psc.cg.gov.in/pdf/Model_Answer/MA_TSI2023_04092024.pdf
3,Amended Model Answer of State Service Prelims Exam-2023 (11-03-2024),11-03-2024,1710115200000,https://psc.cg.gov.in/pdf/Model_Answer/AMA_SSPE_2023_11032024.pdf
4,Model Answer of State Service Prelims Exam-2023 (16-02-2024),16-02-2024,1708041600000,https://psc.cg.gov.in/pdf/Model_Answer/MA_SSPE_2023_16022024.pdf
5,Model Answer of Civil Judge (Entry Level) Exam-2023 (04-09-2023),04-09-2024,1725408000000,https://psc.cg.gov.in/pdf/Model_Answer/MA_CJ_2023_04092023.pdf
6,Model Answer of Assistant Director Agriculture Exam-2023 (21-08-2023),21-08-2023,1692576000000,https://psc.cg.gov.in/pdf/Model_Answer/MA_ADA_2023_21082023.pdf
7,Model Answer of Assistant Director Technical [AYUSH] Exam-2023 (21-08-2023),21-08-2023,1692576000000,https://psc.cg.gov.in/pdf/Model_Answer/MA_ADT_2023_21082023.pdf
8,Model Answer of District Ayurveda Officer [AYUSH] Exam-2023 (21-08-2023),21-08-2023,1692576000000,https://psc.cg.gov.in/pdf/Model_Answer/MA_DAO_2023_21082023.pdf
9,Model Answer of Civil Judge (Entry Level) Exam-2022 (27-02-2023),27-02-2023,1677456000000,https://psc.cg.gov.in/pdf/Model_Answer/MA_CJ_2022_27022023.pdf
10,Model Answer of State Service (Prelims) Exam-2022(13-02-2023),13-02-2023,1676246400000,https://psc.cg.gov.in/pdf/Model_Answer/MA_SSPE_2022_13022023.pdf
11,"Model Answer of Scientific Officer (Biology, Physics, Chemistry) Exam-2022 (17-10-2022)",17-10-2022,1665964800000,https://psc.cg.gov.in/pdf/Model_Answer/MA_SO_2022_17102022.pdf
12,Model Answer of Casualty Medical Officer Exam-2022 (17-10-2022),17-10-2022,1665964800000,https://psc.cg.gov.in/pdf/Model_Answer/MA_CMO_2022_17102022.pdf
13,Model Answer of Peon (General Administration Dept. & CGPSC) Exam-2022 (27-09-2022),27-09-2022,1664236800000,https://psc.cg.gov.in/pdf/Model_Answer/MA_PEON_2022_27092022.pdf
14,Model Answer of Physiotherapist Exam-2022 (15-09-2022),15-09-2022,1663200000000,https://psc.cg.gov.in/pdf/Model_Answer/MA_physio_2022_15092022.pdf
15,Model Answer of Ayurveda Medical Officer Exam-2022 (15-09-2022),15-09-2022,1663200000000,https://psc.cg.gov.in/pdf/Model_Answer/MA_AMO_2022_15092022.pdf
16,Model Answer of State Engineering Service Exam-2021 (29-08-2022),29-08-2022,1661731200000,https://psc.cg.gov.in/pdf/Model_Answer/MA_SES_2021_29082022.pdf
17,Model Answer of Sahayak Kshetriya Privahan Adhikari & Parivahan Up Nirikshak (Tech.) Exam-2022 (15-07-2022),15-07-2022,1657843200000,https://psc.cg.gov.in/pdf/Model_Answer/MA_ARTO_TSI_2022_15072022.pdf
18,Model Answer of Boiler Inspector Exam-2022 (15-07-2022),15-07-2022,1657843200000,https://psc.cg.gov.in/pdf/Model_Answer/MA_BOI_2022_15072022.pdf
19,Model Answer of Dental Surgeon Exam-2022 (15-07-2022),15-07-2022,1657843200000,https://psc.cg.gov.in/pdf/Model_Answer/MA_DSS_2022_15072022.pdf
20,Model Answer of Homoeopathy Medical Officer Exam-2022 (15-07-2022),15-07-2022,1657843200000,https://psc.cg.gov.in/pdf/Model_Answer/MA_hmo_2022_15072022.pdf
21,Model Answer of Mining Officer & Assistant Geologist Exam-2022 & Deputy Superintendent of Police (Radio) Exam-2022 (01-07-2022),01-07-2022,1656633600000,https://psc.cg.gov.in/pdf/Model_Answer/MA_MO_AG_DSPR_2022_01072022.pdf
22,Model Answer of Assistant Research Officer Exam-2022 (25-06-2022),25-06-2022,1656115200000,https://psc.cg.gov.in/pdf/Model_Answer/MA_ARO_2022_25062022.pdf
23,Model Answer of Law Officer (Home Jail Dept.) Exam-2021 & Law Officer (CGPSC) Exam-2022 (05-05-2022),05-05-2022,1651708800000,https://psc.cg.gov.in/pdf/Model_Answer/MA_LAWH_LAWC_05052022.pdf
24,Model Answer of Assistant Director Handloom Exam-2021 & Assistant Registrar Exam-2022 (05-05-2022),05-05-2022,1651708800000,https://psc.cg.gov.in/pdf/Model_Answer/MA_ADH_AR_05052022.pdf
25,Model Answer of Pracharya Verg-1 & Verg-2 Exam-2021 (03-05-2022),03-05-2022,1651536000000,https://psc.cg.gov.in/pdf/Model_Answer/MA_p1p2_2021_03052022.pdf
26,"Model Answer of Assistant Director, Resham Exam-2021 (03-05-2022)",03-05-2022,1651536000000,https://psc.cg.gov.in/pdf/Model_Answer/MA_adr_2021_03052022.pdf
27,Model Answer of Scientific Officer (Chemistry) Exam -2022 (03-05-2022),03-05-2022,1651536000000,https://psc.cg.gov.in/pdf/Model_Answer/MA_soc_2022_03052022.pdf
28,"Model Answer of Assistant Director (Dept. of Planning, Economics & Statistics) Exam-2022 (03-05-2022)",03-05-2022,1651536000000,https://psc.cg.gov.in/pdf/Model_Answer/MA_adpes_2022_03052022.pdf
29,Model Answer of State Service (Prelims) Exam-2021(14-02-2022),14-02-2022,1644796800000,https://psc.cg.gov.in/pdf/Model_Answer/MA_SSPE_2021_14022022.pdf
30,Model Answer of Sahayak Jila Lok Abhiyojan Adhikari Exam- 2021 (13-12-2021),13-12-2021,1639353600000,https://psc.cg.gov.in/pdf/Model_Answer/MA_ADPPO_2021_13122021.pdf
31,Model Answer of CG Forest Service (Combined) Exam- 2020 (07-12-2021),07-12-2021,1638835200000,https://psc.cg.gov.in/pdf/Model_Answer/MA_CGFSE_2020_07122021.pdf
32,Model Answer of Veterinary Assistant Surgeon-2021(26-11-2021),26-11-2021,1637884800000,https://psc.cg.gov.in/pdf/Model_Answer/MA_VAS_2021_26112021.pdf
