1.48314E+12,31-12-2016,201606,SELECTION LIST-STATE ENGINEERING SERVICE EXAM-2016 -CIVIL,https://psc.cg.gov.in/pdf/RESULT/SL_SES2016_C.pdf
1.48314E+12,31-12-2016,201606,SELECTION LIST-STATE ENGINEERING SERVICE EXAM-2016 -ELECTRICAL / MECHANICAL ,https://psc.cg.gov.in/pdf/RESULT/SL_SES2016_EM.pdf
1.48314E+12,31-12-2016,201606,"SELECTION LIST-STATE ENGINEERING SERVICE EXAM-2016 -ELECTRICAL, MECHANICAL, AGRICULTRE",https://psc.cg.gov.in/pdf/RESULT/SL_SES2016_EMAG.pdf
1.48323E+12,01-01-2017,201606,STATEMENT OF MARKS IN FINAL SELECTION-CIVIL,https://psc.cg.gov.in/pdf/RESULT/SES2016/ML_SES2016_CIVIL.PDF
1.48323E+12,01-01-2017,201606,STATEMENT OF MARKS IN FINAL SELECTION-ELCTRICAL_MECHANICAL ,https://psc.cg.gov.in/pdf/RESULT/SES2016/ML_SES2016_ELECTRICAL_MECHANICAL.PDF
1.48323E+12,01-01-2017,201606,STATEMENT OF MARKS IN FINAL SELECTION-ELCTRICAL ,https://psc.cg.gov.in/pdf/RESULT/SES2016/ML_SES2016_ELECTRICAL.PDF
1.48323E+12,01-01-2017,201606,STATEMENT OF MARKS IN FINAL SELECTION-MECHANICAL ,https://psc.cg.gov.in/pdf/RESULT/SES2016/ML_SES2016_MECHANICAL.PDF
1.48323E+12,01-01-2017,201606,STATEMENT OF MARKS IN STATEMENT OF MARKS IN FINAL SELECTION-AGRICULTURE,https://psc.cg.gov.in/pdf/RESULT/SES2016/ML_SES2016_AGRICULTURE.PDF
1.48323E+12,01-01-2017,201606, ABSENT/NOT ELIGIBLE CANDIDATES IN INTERVIEW - ELECTRICAL_MECHANICAL ,https://psc.cg.gov.in/pdf/RESULT/SES2016/NE_SES2016_ELECTRICAL_MECHANICAL.PDF
1.48323E+12,01-01-2017,201606, ABSENT/NOT ELIGIBLE CANDIDATES IN INTERVIEW - ELECTRICAL,https://psc.cg.gov.in/pdf/RESULT/SES2016/NE_SES2016_ELECTRICAL.PDF
1.48323E+12,01-01-2017,201606,ABSENT/NOT ELIGIBLE CANDIDATES IN INTERVIEW - MECHANICAL,https://psc.cg.gov.in/pdf/RESULT/SES2016/NE_SES2016_MECHANICAL.PDF
1.48323E+12,01-01-2017,201606,STATEMENT OF MARKS IN WRITTEN EXAM-AGRICULTURE ,https://psc.cg.gov.in/pdf/RESULT/SES2016/WM_SES2016_AGRI.PDF
1.48323E+12,01-01-2017,201606,STATEMENT OF MARKS IN WRITTEN EXAM-CIVIL ,https://psc.cg.gov.in/pdf/RESULT/SES2016/WM_SES2016_CIVIL.PDF
1.48323E+12,01-01-2017,201606,STATEMENT OF MARKS IN WRITTEN EXAM-ELECTRICAL-MECHANICAL ,https://psc.cg.gov.in/pdf/RESULT/SES2016/WM_SES2016_EM.PDF
1.48323E+12,01-01-2017,201606,STATEMENT OF MARKS IN WRITTEN EXAM-ELECTRICAL,https://psc.cg.gov.in/pdf/RESULT/SES2016/WM_SES2016_ELEC.PDF
1.48323E+12,01-01-2017,201606,STATEMENT OF MARKS IN WRITTEN EXAM-MECHANICAL,https://psc.cg.gov.in/pdf/RESULT/SES2016/WM_SES2016_MECH.PDF
1.48254E+12,24-12-2016,201405,"SELECTION LIST- CLINICAL PSYCHOLOGIST, CHILD PSYCHOLOGIST , PTI/ SPORT OFFICER , SCIENTIFIC OFFICER TOXICOLOGY, SPEECH PATHOLOGIST/ AUDOLOGIST GRADE -01 , SPEECH PATHOLOGIST /AUDIOLOGIST GRADE-2 AND SPEECH THERAPIST EXAM-2014",https://psc.cg.gov.in/pdf/RESULT/SL_HFW05_2.pdf
1.48271E+12,26-12-2016,201405,STATEMENT OF MARKS IN FINAL SELECTION-SCIENTIFIC OFFICER TOXICOLOGY,https://psc.cg.gov.in/pdf/RESULT/05_2014/ML/ML_SOT.PDF
